Row ID,State,Postal Code,Region,Category,Sub_Category,Sales
2,Kentucky,42420,South,Furniture,Chairs,731.94
3,California,90036,West,Office_Supplies,Labels,14.62
4,Florida,33311,South,Furniture,Tables,957.5775
5,Florida,33311,South,Office_Supplies,Storage,22.368
6,California,90032,West,Furniture,Furnishings,48.86
7,California,90032,West,Office_Supplies,Art,7.28
8,California,90032,West,Technology,Phones,907.152
9,California,90032,West,Office_Supplies,Binders,18.504
10,California,90032,West,Office_Supplies,Appliances,114.9
11,California,90032,West,Furniture,Tables,1706.184
12,California,90032,West,Technology,Phones,911.424
13,North_Carolina,28027,South,Office_Supplies,Paper,15.552
14,Washington,98103,West,Office_Supplies,Binders,407.976
15,Texas,76106,Central,Office_Supplies,Appliances,68.81
16,Texas,76106,Central,Office_Supplies,Binders,2.544
17,Wisconsin,53711,Central,Office_Supplies,Storage,665.88
18,Utah,84084,West,Office_Supplies,Storage,55.5
19,California,94109,West,Office_Supplies,Art,8.56
20,California,94109,West,Technology,Phones,213.48
21,California,94109,West,Office_Supplies,Binders,22.72
22,Nebraska,68025,Central,Office_Supplies,Art,19.46
23,Nebraska,68025,Central,Office_Supplies,Appliances,60.34
24,Pennsylvania,19140,East,Furniture,Chairs,71.372
25,Utah,84057,West,Furniture,Tables,1044.63
26,California,90049,West,Office_Supplies,Binders,11.648
27,California,90049,West,Technology,Accessories,90.57
28,Pennsylvania,19140,East,Furniture,Bookcases,3083.43
29,Pennsylvania,19140,East,Office_Supplies,Binders,9.618
30,Pennsylvania,19140,East,Furniture,Furnishings,124.2
31,Pennsylvania,19140,East,Office_Supplies,Envelopes,3.264
32,Pennsylvania,19140,East,Office_Supplies,Art,86.304
33,Pennsylvania,19140,East,Office_Supplies,Binders,6.858
34,Pennsylvania,19140,East,Office_Supplies,Art,15.76
35,Texas,77095,Central,Office_Supplies,Paper,29.472
36,Texas,75080,Central,Technology,Phones,1097.544
37,Texas,75080,Central,Furniture,Furnishings,190.92
38,Texas,77041,Central,Office_Supplies,Envelopes,113.328
39,Texas,77041,Central,Furniture,Bookcases,532.3992
40,Texas,77041,Central,Furniture,Chairs,212.058
41,Texas,77041,Central,Technology,Phones,371.168
42,Illinois,60540,Central,Technology,Phones,147.168
43,California,90049,West,Office_Supplies,Storage,77.88
44,Florida,32935,South,Office_Supplies,Storage,95.616
45,Minnesota,55122,Central,Technology,Accessories,45.98
46,Minnesota,55122,Central,Office_Supplies,Binders,17.46
47,Michigan,48185,Central,Office_Supplies,Storage,211.96
48,Delaware,19901,East,Technology,Accessories,45
49,Delaware,19901,East,Technology,Phones,21.8
50,Indiana,47150,Central,Office_Supplies,Binders,38.22
51,Indiana,47150,Central,Office_Supplies,Labels,75.18
52,Indiana,47150,Central,Furniture,Furnishings,6.16
53,Indiana,47150,Central,Furniture,Chairs,89.99
54,New_York,10024,East,Office_Supplies,Fasteners,15.26
55,New_York,10024,East,Technology,Phones,1029.95
